"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"PRJNA356769_ITS2_ASV44","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Asterales","f__Asteraceae","g__Ambrosia","s__artemisiifolia"
"PRJNA356769_ITS2_ASV443","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucurbita","s__pepo"
"PRJNA356769_ITS2_ASV466","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Cuminum","s__cyminum"
"PRJNA356769_ITS2_ASV467","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucurbitaceae_gen_Incertae_sedis",NA
"PRJNA356769_ITS2_ASV925","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Asterales","f__Asteraceae","g__Arnoseris","s__minima"
"PRJNA356769_ITS2_ASV479","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Sapindales","f__Rutaceae","g__Citrus","s__maxima"
"PRJNA356769_ITS2_ASV480","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Caryophyllales","f__Amaranthaceae","g__Beta","s__macrocarpa"
"PRJNA356769_ITS2_ASV482","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Sapindales","f__Anacardiaceae","g__Pistacia",NA
"PRJNA356769_ITS2_ASV483","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Sapindales","f__Rutaceae","g__Citrus","s__japonica"
"PRJNA356769_ITS2_ASV486","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucurbita","s__pepo"
"PRJNA356769_ITS2_ASV505","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Malpighiales","f__Linaceae","g__Linum","s__monogynum"
"PRJNA356769_ITS2_ASV51","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae",NA,NA
"PRJNA356769_ITS2_ASV531","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Rosaceae","g__Prunus","s__sunhangii"
"PRJNA356769_ITS2_ASV536","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Anethum",NA
"PRJNA356769_ITS2_ASV539","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucurbita","s__pepo"
"PRJNA356769_ITS2_ASV545","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fabales","f__Fabaceae","g__Medicago",NA
"PRJNA356769_ITS2_ASV55","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Ulmaceae","g__Ulmus","s__pumila"
"PRJNA356769_ITS2_ASV550","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fagales","f__Betulaceae","g__Corylus","s__ferox"
"PRJNA356769_ITS2_ASV561","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Solanales","f__Solanaceae","g__Solanum","s__tuberosum"
"PRJNA356769_ITS2_ASV57","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Rosaceae","g__Prunus",NA
"PRJNA356769_ITS2_ASV575","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Proteales","f__Proteaceae","g__Macadamia","s__integrifolia"
"PRJNA356769_ITS2_ASV579","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fabales","f__Fabaceae",NA,NA
"PRJNA356769_ITS2_ASV58","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Zea","s__perennis"
"PRJNA356769_ITS2_ASV582","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Coriandrum","s__sativum"
"PRJNA356769_ITS2_ASV59","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__rapa"
"PRJNA356769_ITS2_ASV60","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucurbita","s__pepo"
"PRJNA356769_ITS2_ASV607","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Sapindales","f__Anacardiaceae","g__Pistacia",NA
"PRJNA356769_ITS2_ASV61","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica",NA
"PRJNA356769_ITS2_ASV612","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__juncea"
"PRJNA356769_ITS2_ASV628","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Lolium",NA
"PRJNA356769_ITS2_ASV633","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae",NA,NA
"PRJNA356769_ITS2_ASV635","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Lamiales","f__Lamiaceae","g__Lamiaceae_gen_Incertae_sedis",NA
"PRJNA356769_ITS2_ASV644","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Pimpinella","s__olivieri"
"PRJNA356769_ITS2_ASV646","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__rapa"
"PRJNA356769_ITS2_ASV66","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae",NA,NA
"PRJNA356769_ITS2_ASV691","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__rapa"
"PRJNA356769_ITS2_ASV696","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Caryophyllales","f__Amaranthaceae","g__Amaranthus","s__watsonii"
"PRJNA356769_ITS2_ASV728","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fagales","f__Juglandaceae","g__Carya",NA
"PRJNA356769_ITS2_ASV743","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fabales","f__Fabaceae","g__Phaseolus","s__vulgaris"
"PRJNA356769_ITS2_ASV746","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucurbita","s__pepo"
"PRJNA356769_ITS2_ASV75","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Asparagales","f__Asparagaceae","g__Asparagus","s__persicus"
"PRJNA356769_ITS2_ASV750","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Rosaceae","g__Rubus","s__rhamnifolius"
"PRJNA356769_ITS2_ASV756","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Asterales","f__Asteraceae","g__Calyptocarpus","s__vialis"
"PRJNA356769_ITS2_ASV78","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fabales","f__Fabaceae","g__Trigonella","s__foenum-graecum"
"PRJNA356769_ITS2_ASV787","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucumis","s__sativus"
"PRJNA356769_ITS2_ASV788","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Lamiales","f__Oleaceae","g__Fraxinus",NA
"PRJNA356769_ITS2_ASV79","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__rapa"
"PRJNA356769_ITS2_ASV790","k__Viridiplantae","p__Chlorophyta","c__Trebouxiophyceae","o__Trebouxiales","f__Trebouxiaceae","g__Trebouxia",NA
"PRJNA356769_ITS2_ASV8","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fabales","f__Fabaceae","g__Vicia","s__faba"
"PRJNA356769_ITS2_ASV816","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__insularis"
"PRJNA356769_ITS2_ASV819","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Solanales","f__Convolvulaceae","g__Convolvulus","s__arvensis"
"PRJNA356769_ITS2_ASV833","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucurbita","s__pepo"
"PRJNA356769_ITS2_ASV844","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Solanales","f__Solanaceae","g__Solanum","s__tuberosum"
"PRJNA356769_ITS2_ASV848","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Asterales","f__Asteraceae","g__Erigeron","s__humilis"
